id;city;title;question;theme;keywords;summary;challenge_url;challenge_text_main
ferrara02;Ferrara;Hi, do you need a ride to your office?;Car-pooling to work is the solution ... but how in practice?;mobility;ferrara|participating|participated|phase|pooling|pool|carpooling|managers|management|chemical|project|fancypixel|parking|ami|reserved|spaces|identified|identify innovative|entrusted|car;To further improve this platform, we want to implement several features identified in the software following the ideas and suggestions that emerged during various meetings, in which the mobility managers participated.;https://climathon.climate-kic.org/en/challenges/mobility/hi-do-you-need-a-ride-to-your-office;"The objective of this challenge is to identify innovative ways to improve solutions for car-pooling, starting from the web application http://carpooling.fe.it/   As part of the POLIS project (funded by the Ministry of the Environment), the Municipality intends to promote car pooling for employees and students of organizations having mobility managers. A web portal created specifically for this purpose could considerably simplify the steps required to publish the trip effectively and to search for available lifts. AMI Ferrara has established an agreement with the Faculty of Engineering, to create a platform for corporate carpooling for local authorities only. This led to the involvement of various experts and to the first realization of a feasibility study and then to the actual implementation of the platform itself. We started by analyzing the real needs of users in the area, to be able to provide a system that meets the needs of potential users and then increase the likelihood that they use it with satisfaction and security. The platform has been online since June 2016 and the system test phase was launched, in which the mobility managers of the participating organizations participated: Ferrara University, AMI Ferrara, AUSL, the Municipality of Ferrara, the Province of Ferrara, Eni-Versalis and Basell (chemical industries in Ferrara), TPER, HERA group and Ospedale di Ferrara. The ""production and maintenance"" phase of the platform was then started, a phase entrusted directly to a spin-off of the Ferrara Faculty of Engineering (FancyPixel SRL). To further improve this platform, we want to implement several features identified in the software following the ideas and suggestions that emerged during various meetings, in which the mobility managers participated. Parallel to the development, management and dissemination of such software to the interested parties, the possibility of free parking for car pool crews in specially reserved spaces, close to the main entrances, in the parking lot of the Cona Hospital which will soon be regulated for a fee.  "
ferrara03;Ferrara;How to ... incentivise citizens, workers and visitors;Why should I take a bike instead of using my car?;mobility;cars|car|cities|city|transport|transportation|mobility|behaviour|behaviours|mode|modes|vehicle|charges|charge|approaches|approach|modal|citizens use|educating|education|awareness|decision|work|oica|natural resource|america|nafta|data|like|sustainable|including|include|solutions|transformations|explore;At the heart of city transportation and smart city mobility planning is the overall reduction of car use – predominantly Single Occupancy Vehicle (SOV) trips.This so-called mode-shift from SOV to other forms of more sustainable transportation is essentially a society-level behaviour change intervention.;https://climathon.climate-kic.org/en/challenges/mobility/we-need-a-real-behavioural-change-shifting-from-private-cars-to-more-sustainable-mobility-in-the-dailylife;"According to a recent survey by the Municipality of Ferrara, almost 50% of citizens use private cars or motorbikes for their home-work trips and for shopping.  This percentage is still valid also when considering only residents that live and work inside Ferrara.   Our cities are more and more congested by cars that citizens use even in cases where the walking distance is affordable, with severe consequences on pollution, natural resource consumption and effects on global warming. It is estimated by the International Organization of Motor Vehicle Manufacturers (OICA) that the number of cars in use in 2015 in Europe were 333 million [1], more than the total in the whole of America (NAFTA, Central and South America). i.e. 238 million, also considering a worldwide growth of cars in use from 653 to 947 million in the period 2005 - 2015. As many other cities, Ferrara is searching for innovative solutions to face the problem. In fact, while the city has the merit to be “the city of bicycles”, where almost one third of urban mobility is based on bikes, it still needs to face the problem of vehicular traffic, which causes approximately 29% of CO2 emissions on its territory. [1] http://www.oica.net/category/vehicles-in-use/  Both local authorities and transport companies need to collect data about how and where citizens use bikes or walk, take public transport or use car-pooling, by the use of crowd-sourced data with gamification mechanisms. At the heart of city transportation and smart city mobility planning is the overall reduction of car use – predominantly Single Occupancy Vehicle (SOV) trips.This so-called mode-shift from SOV to other forms of more sustainable transportation is essentially a society-level behaviour change intervention. Against this backdrop, car ownership has become engrained in our psyche, and people like their cars and the convenience of using them. So, it is not a simple task to target car owners with mass marketing. Even punitive approaches such as congestion charges (applied in different European cities) have not had a material affect because the city is still congested, and it has pushed the congestion further out beyond the congestion charge zone. Therefore, it requires a closer engagement with individuals to deliver appropriate and contextual information about the impact of using cars, and the viable alternatives available. Modal shift is another way of describing behaviour change. It will continue to be the major underpinning of urban transport initiatives – moving people from SOV to sustainable mobility, including multi-modal journeys and active travel. This will include creating awareness, educating, encouraging a consideration to change, and tracking the changes. It relates to all modes of travel whether it is existing mature modes such as bus and train, or newer modes like car-pooling, car-sharing, and electric bikes. The specific objectives of this challenge are:  Identify which kinds of incentives may be applied in Ferrara to increase citizens’ engagement and participation in a ""smart city"" approach. Think beyond awareness raising and education. Look into more engaging co-creation approaches and expertise about subconscious decision making and cultural transformations. Explore possible solutions to promote and enable sustainable mobility behaviours, Analyse examples of existing programmes in other cities (e.g. Bologna, Trento, ...) and find out if similar tools and approaches might be replicated in Ferrara   "
ferrara04;Ferrara;CLIMB (Children’s Independent Mobility) for primary schools ;How long, in feet, is the path from home to school?;mobility;ferrara|sustainability|sustainable|education|educational|urban|focusing|focuses|generations|time|kic|traffic|supporting|loop|schools focus|school|reflect make informed;"In Ferrara, parents as well as the Municipality ask for the reduction of cars in front of schools; focus is not only on traffic jams during peak-times, but on improving health and safety of children, supporting families in their daily need to pick students to school.";https://climathon.climate-kic.org/en/challenges/mobility/smart-kids-go-green-innovative-tools-and-approaches-for-piedibus-2-0;"In Ferrara, parents as well as the Municipality ask for the reduction of cars in front of schools; focus is not only on traffic jams during peak-times, but on improving health and safety of children, supporting families in their daily need to pick students to school.   As many other cities, Ferrara is searching for innovative mean to face the problem. In fact, while the city has the merit to be “the city of bicycles”, where almost one third of urban mobility is based on bikes, still need to face the problem of vehicular traffic, which causes approximately 29% of CO2 emissions on its territory.  In particular, focusing on the use of cars for the home-school mobility, it has to be noted that still 70% of children are taken at school by car. Moreover, in the 50% of cases the school is not on the home-work journey of the parents.  The CLIMB Ferrara project (co-funded by Climate KIC) wants to export and adapt the CLIMB solution, already used in Trentino, in the Municipality of Ferrara, scaling it in a different urban context (http://www.smartcommunitylab.it/climb/). This innovative intervention focuses and acts on young generations to address these needs. Education is our best hope and most effective mean to cope with environmental sustainability challenges, since it can empower people with values, knowledge and skills to critically reflect, make informed decisions and act in a sustainable way. Childhood is a privileged time for environmental education: it creates a new attitude of care, respect and sustainable life habits in future generations of citizens and establishes a reinforcement loop spreading the educational impact to their families and the communities they live in.  "
galway01;Galway;Decarbonising Galway city;How can Galway become one of the lowest carbon footprint cities in the world by 2030?;air-pollution;galway city|sustainable|challenge|footprint|footprints|energy|decarbonisation|decarbonising|decarbonisations|cities|pollution|carbon|sector|require multiple parallel;If all cities globally, whether large or small,  made concerted efforts to reduce their carbon footprints it would make a significant impact on decarbonisation pathways to reduce greenhouse gas emissions   Sustainable decarbonistaion pathways for Galway city will require multiple parallel interventions and innovations if climate mitigation and adaptation goals are to be achieved by 2030 that can improve the quality of life for Galway's citizens.;https://climathon.climate-kic.org/en/challenges/air-pollution/carbonising-galway-city;The top 100 highest-footprint cities worldwide drive roughly 20% of the global carbon footprint. If all cities globally, whether large or small,  made concerted efforts to reduce their carbon footprints it would make a significant impact on decarbonisation pathways to reduce greenhouse gas emissions   Sustainable decarbonistaion pathways for Galway city will require multiple parallel interventions and innovations if climate mitigation and adaptation goals are to be achieved by 2030 that can improve the quality of life for Galway's citizens. This will require joined up efforts from public sector, private sector and civil society across a range of sub-challenges facing Galway city and the majority of cities globally. These include:   Sustainable Energy Fuel Poverty & Older People Energy Efficient Buildings Decarbonising Transport Galway’s Carbon Footprint Low Carbon Diets   Water Quality & Air Pollution Galway’s Circular Economy  Flooding Resilience Post-Plastic Galway Marine Pollution Enabling low-footprint citizens  These are examples of the Challenge topics that can be addressed at the Climathon Galway 2018. If challenge teams wish to add other topic that can contribute to sustainable decarbonisations pathways for Galway city, this can be done on the day.   
gandesa01;Gandesa;Mobility efficiency;How can Terra Alta improve mobility efficiency?;mobility;areas|inter;"New sustainable mobility models are needed for inter-urban areas.
How do such models look for Terra Alta?
We are looking for solutions to improve mobility efficiency in Terra Alta.
Solutions should focus on  creating sustainable mobility models for inter-urban areas promote a shared mobility   ";https://climathon.climate-kic.org/en/challenges/mobility/terra-alta-challenges;New sustainable mobility models are needed for inter-urban areas. How do such models look for Terra Alta?     We are looking for solutions to improve mobility efficiency in Terra Alta. Solutions should focus on  creating sustainable mobility models for inter-urban areas promote a shared mobility   
gandesa02;Gandesa;Sustainable water management;How can Gandesa improve sustainable water management?;water-management;water|managed|management|climate|expected;"How can water be managed efficiently to mitigate climate change and adapt to it?
Solutions should focus on  Creating water management solutions that efficiently use resources in homes and farms Making of water an agent for mitigating climate change and adapting to the new expected scenarios regarding water management.";https://climathon.climate-kic.org/en/challenges/water-management/sustainable-water-management-gandesa;Efficient use of resources are becoming more important. How can water be managed efficiently to mitigate climate change and adapt to it?     We are looking for solutions to improve water management in Gandesa as in rural areas life happens where the rivers are. Solutions should focus on  Creating water management solutions that efficiently use resources in homes and farms Making of water an agent for mitigating climate change and adapting to the new expected scenarios regarding water management.   
gandesa03;Gandesa;Sustainable forest management;How can Terra Alta improve sustainable forest management;extreme-weather;prevent|fires|forests|forest|energy;"We are looking for solutions to improve forest management in Gandesa as in rural areas the woods are the lungs of the planet.
Solutions should focus on  Creating forest management solutions that use forests as carbon sinks and sustainable energy sources Making forests adapt to new climate scenarios and prevent fires.    ";https://climathon.climate-kic.org/en/challenges/extreme-weather/sustainable-forest-management-challenge;Forests can be used as carbon sinks and sustainable energy sources. How can we adapt to new climate scenarios and prevent fire? and can we generate energy by making it?   We are looking for solutions to improve forest management in Gandesa as in rural areas. The woods are the lungs of the planet.  We are looking for solutions to improve forest management in Gandesa as in rural areas the woods are the lungs of the planet. Solutions should focus on  Creating forest management solutions that use forests as carbon sinks and sustainable energy sources Making forests adapt to new climate scenarios and prevent fires.    
gandesa04;Gandesa;Energy efficiency;How can Gandesa improve energy rehabilitation of homes in rural areas?;energy;renewable use|energy;"Rural area's housing stock is older than in cities, as there is not so much new construction.
How can energy rehabilitation of homes be improved?
How can energy rehabilitation of homes be improved?
We are looking for solutions to improve energy rehabilitation in Gandesa as the rural housing stock is much older than in the cities.";https://climathon.climate-kic.org/en/challenges/energy/energy-efficiency-challenge-gandesa;Rural area's housing stock is older than in cities, as there is not so much new construction. How can energy rehabilitation of homes be improved?   Rural area's housing stock is older than in cities, as there is not so much new construction. How can energy rehabilitation of homes be improved?   We are looking for solutions to improve energy rehabilitation in Gandesa as the rural housing stock is much older than in the cities. Solutions should focus on energy efficiency and renewable use at:  Homes Our industry Farms   
graz01;Graz;A climate friendly transport system;How can citizens contribute to social transformation for a climate friendly transport system?;mobility;climate|protection|like|systems|secure;"Social changes are needed in order to stop climate change.
How can our transport system look like in 2050 in regards to climate protection?
Solutions should focus on:  Motivation to use climate friendly mobility Autonomous driving as a Climate protection measure: how can it look like?";https://climathon.climate-kic.org/en/challenges/mobility/a-climate-friendly-transport-system;Social changes are needed in order to stop climate change. Which social changes of the coming decades are relevant to the evolution of mobility?  How can our transport system look like in 2050 in regards to climate protection?   Solutions should focus on:  Motivation to use climate friendly mobility Autonomous driving as a Climate protection measure: how can it look like? Vision 2050 for Styria: Styria is climate-neutral and energy secure Multimodal transport systems: decarbonization of the transport system   
graz02;Graz;The efficient use of renewable energy;How can efficient usage of renewable energy be ensured to reduce losses and the need for storage?;energy;renewable energy|residents|understandable|understand|automatization|technical|mobile|home|consumption;How can production and the direct consumption of renewable energy in a multi-party house be better linked in order to strengthen renewable energy production in cities?How can residents in multi-party houses be motivated to be more aware of the advantages of the consumption of their home-generated renewable energy from the roof and be motivated to reduce energy consumption from the grid in their daily life routine?;https://climathon.climate-kic.org/en/challenges/energy/the-efficient-use-of-renewable-energy;The usage and production of renewable energy should be better linked in order to be more efficient and strengthen the production of renewable energy in cities.  How can residents be motivated to be more aware of the advantages of their home-generated renewable energy from the roof?   How can production and the direct consumption of renewable energy in a multi-party house be better linked in order to strengthen renewable energy production in cities?How can residents in multi-party houses be motivated to be more aware of the advantages of the consumption of their home-generated renewable energy from the roof and be motivated to reduce energy consumption from the grid in their daily life routine?  Solution should focus on:  Awareness: Giving residents access to all available energy data (consumption and production) of their home in an understandable format and helping residents to better understand climate-friendly electric energy production. Displaying and showing technical information in a user-friendly and understandable way Gamification, rewards, sharing: Motivating residents of a multiparty-house to use as much renewable energy Automatization: Optimize the usage of renewable energy via smart devices, smart home and home automatization E-mobility: integrate E-mobility into the optimization of the locally produced energy in the city e.g. as a mobile storage   
graz03;Graz;Public transportation in the future;What will an interlinked public transportation network look like in the future?;mobility;new|transport|transportation|modes;"Public Transport becomes more and more important for cities.
How could public transport look like in the future?
Are there new ways of public transportation to be found?
How could public transport look like in the future?
Are there new ways of public transportation to be found?";https://climathon.climate-kic.org/en/challenges/mobility/public-transportation-in-the-future;Public Transport becomes more and more important for cities. How could public transport look like in the future? Are there new ways of public transportation to be found? How can residents be motivated to use public transport on a daily basis?   How could public transport look like in the future? Are there new ways of public transportation to be found? How can residents be motivated to use public transport on a daily basis? Solutions should focus on:  IT-Solutions Solutions covering the whole mobility chain New transportation modes New ticketing modes   
graz04;Graz;Micro climate made visible for everyone;How can climate and air quality data be made more understandable for citizens?;human-behaviour;routine|daily life|solution|aware|awareness;"But how can this data be used to motivate citizens to be aware of their behaviour in their daily life routine?
How can climate and air quality data be used to motivate citizens to be aware of their behaviour in their daily life routine?";https://climathon.climate-kic.org/en/challenges/human-behaviour/micro-climate-made-visible-for-everyone;Understanding micro climate can help being more climate friendly. But how can this data be used to motivate citizens to be aware of their behaviour in their daily life routine?   How can climate and air quality data be used to motivate citizens to be aware of their behaviour in their daily life routine? Solution should focus on:  Giving citizens information to available climate data of their area in an understandable format Transferring technical information (data) into a citizen-friendly language that allows citizens to understand climate data   Motivating citizens to live ‘climate friendly’ and creating awareness for microclimate movements in the course of a day, the changes over time and what causes them   
grimstad01;Grimstad;Using Circular Economy to hack Climate Change ;Can we hack Climate Change from a local level? Is Circular Economy a way to RESOLVE climate issues?;circular-economy;design|circular|economy|economies|object|objects|production|product|resource|resources|distribution|use|industrial|industry|useful life|benefits|economic|appliance|turnover|waste|sustainable|efficiency|efficiencies|challenges|specific|things;;https://climathon.climate-kic.org/en/challenges/circular-economy/resolve-using-circular-economy-to-reduce-our-environmental-impact;Today’s economy is built on a “fast turnover” principle. The faster we replace our gadgets the better. Moving to a circular economy by using and re-using, rather than using up, would yield multiple benefits.    In Norwegian cities and regions we are confronting, as in most cities around the world, with major challenges in relation to the amount of waste produced. Some of the waste might be easy to avoid if our lifestyle could change, but there are countless cases where it is very hard to avoid things like: packaging of goods, buying a new appliance instead of repairing the old one, or when looking at industrial scale the management of byproducts and industrial waste. The goal of introducing a Circular Economy system is to eliminate waste and improve resource management and efficiency, which can actually lead to significant economic, social and environmental benefits.  How can Grimstad, and the whole of Ager region, together with industry and citizens reduce the amount of waste produced by a linear economy system?  What project ideas could support the transition from a Produce-Use-Discard system to a Resource Management System using creativity, culture, design, alternative approaches and the ReSOLVE framework?Successful circular economy practices involve actions such as integrating sustainable design, production, distribution, consumption and disposal of materials back into the material and resource flows. In most cases they are based on the collaboration and co-creation between producers and consumers. Some examples of circular economy actions that are already yielding positive benefits are: car sharing and car-pooling, object libraries or object banks (renting out objects you only occasionally need, rather than buying them), industrial symbiosis (where a by-product or residual product of one enterprise is used as a resource by another enterprise). Many others exist, and there are many unexplored areas of the circular economy where your idea can make a difference! Solutions could focus on:-Industry and sector specific challenges   -How can culture and “consumer” behaviour be integrated into the design, management, production processes, along the value-chain-Design techniques using concepts or materials that embed circular flows or material efficiencies-Identifying, capturing and using resource data that will inform and support a more sustainable use and management of resources.-Using design and technology to add value and extend the useful life of currently single-life objects-Business models that can be adapted or created that will aid a transition to a circular economy-Creation or development of local circular loops or economies-Industrial symbiosis-Distributed manufacture-Co-creation opportunities between producers and consumers  
helsinki01;Helsinki;Join the 24h brainstorm for Helsinki sustainable food revolution!;How to create sustainable urban food systems and develop a smart local economy in Tukkutori area?;food;helsinki|urban food|energy consumption|new|area|local|heating|heat|includes|including|products|production|wholesale|plant|fresh|biggest|old|bars|students|restaurant|restaurants|researchers|teurastamo;How to develop the Tukkutori and Teurastamo district, an old wholesale, warehouse and abattoir area located in the heart of Helsinki, to become an urban food hub serving the local neighborhoods and the leader for a sustainable food revolution in the whole city?;https://climathon.climate-kic.org/en/challenges/food/growing-local-creating-tukkutori-sustainable-urban-food-hub;"How to develop the Tukkutori and Teurastamo district, an old wholesale, warehouse and abattoir area located in the heart of Helsinki, to become an urban food hub serving the local neighborhoods and the leader for a sustainable food revolution in the whole city?   The City of Helsinki has set a target to become a carbon neutral city by the end of 2035. Carbon Neutral Helsinki 2035 action plan includes details how to reduce energy consumption and how to increase on-site renewable energy generation in the city. Helsinki’s definition of carbon neutrality is to reduce greenhouse gas emissions generated within the city borders by 80% and to offset the rest.  Helsinki seeks to build a functional and carbon-neutral city together with citizens and businesses. The population of Helsinki is estimated to grow from the current 640,000 to 780,000 by 2035. The biggest source of greenhouse gas emissions in Helsinki is heating. According to the action plan, the city can economically cut the heat energy consumption of buildings with ambitious energy-efficiency upgrades in the old building stock, stricter standards in new construction, heat recovery, and geothermal heating. However in the urban consumption, housing, transport and food are the biggest contributors to the carbon food print of Helsinki. Recent estimates have revealed that the carbon foot print of housing has diminished but the carbon foot print of food products remains the same. Therefore there is a potential to make an impact by creating new innovations for urban food systems including solutions for production, consumption, retail, waste management and energy. Helsinki climate actions can also contribute to the creation of new jobs and sustainable businesses. Tukkutori/Teurastamo district (The City of Helsinki Wholesale Food Market) is an old wholesale and warehouse area located in central Helsinki. The area also used to be a location of a large abattoir but the old butchery now has a new life as a restaurant complex.  The district can be divided into two parts; the former abbatoir area Teurastamo where the majority of the buildings have already been renovated and transformed into locations for restaurants, bars, events and pop-up markets. The other part is Tukkutori that is still an area for wholesale and logistics. Also a freezing plant owned by the City of Helsinki occupies one corner of the area.  Although in Teurastamo the small scale food factories already operate and the restaurants have been opened, the full potential of the area as urban food hub of Helsinki is still underdeveloped.   Helsinki Climathon challenge is to develop the Tukkutori/Teurastamo district to become a sustainable and commercially viable urban food hub.  The Helsinki Climathon challenge in 2018 wants to inspire students, researchers, companies and citizens to think fresh ideas for:   Sustainable and commercially viable urban farming and food production ecosystems   OR  Teurastamo/Tukkutori area becoming a well-functioning local economy in food retail and consumption by engaging the local produces and residents, by arranging last mile logistics and by local marketing   "
heraklion01;Heraklion;Heraklion faces Climate Change;How can we make Heraklion a better city to live in?;air-pollution;production|products|productive|climate|means|communities|community|floods|southern|city|life|significant|significantly|olive|population|especially|water|scarcity|waste;Heraklion has always had food sufficiency, high quality production of basic products (like olive oil, grains, fruit and vegetables) the water was free and abundant through the city fountains (e.g. morosini fountain) and the climate ideal for living and growing a strong community and cultural life.;https://climathon.climate-kic.org/en/challenges/air-pollution/heraklion-faces-climate-change;"Warmer summers, drier winters, water scarcity, land degradation, problematic behaviours. Climate Change is knocking on our doors. Are we ready to open up and face it?   Heraklion is the capital of the island of Crete, southern Europe. Its location in the Mediterranean basin has granted the island with an ideal environment for agricultural production, healthy communities, commerce, and the growth of significant civilizations, such as the Minoan. Heraklion has always had food sufficiency, high quality production of basic products (like olive oil, grains, fruit and vegetables) the water was free and abundant through the city fountains (e.g. morosini fountain) and the climate ideal for living and growing a strong community and cultural life. This has been the case for hundreds of years. Today for the first time we risk losing what we took for granted. Climate change means warmer summers and drier winters, so we might not be able to cultivate productive vineyards and olive groves anymore. Water scarcity threatens agriculture and our quality of life significantly. Extreme weather means higher risk of fires, floods, destruction of agricultural production. Extensive use of cars for transportation and ineffective waste management makes city life more hectic.  ""Flexible"" or insufficient policies, together with the lack of environmental education for a large part of the Cretan population (especially evident in older generations) further adds to the problem. It is time to wake up and face these challenges to protect the place we live in and love!  "
hong-kong01;Hong Kong;Sustainable energy;How can Hong Kong fully increase the use of renewable energy?;energy;energy|power|wave|kong|renewable|service|source;"Hong Kong relies on imported energy resources, of which coal is still the main source making up around 57% of the energy mix.
After the feed-in tariff scheme was introduced by the Government in April this year, citizens are allowed to sell the renewable energy they produce to power companies at a unit rate between HK$3-$5.";https://climathon.climate-kic.org/en/challenges/energy/how-can-hong-kong-fully-increase-the-use-of-renewable-energy;Hong Kong relies on imported energy resources, of which coal is still the main source making up around 57% of the energy mix. Natural gas comes second, making up 21%. The remaining 22% is nuclear power imported from Mainland China. How can we increase the use of renewable energy?    After the feed-in tariff scheme was introduced by the Government in April this year, citizens are allowed to sell the renewable energy they produce to power companies at a unit rate between HK$3-$5. How can we fully utilize this opportunity when renewable energy is set to become the next big wave?  Solutions can focus on:  Community electricity sharing Renewable energy consultancy service Renewable energy device installation service   
hong-kong02;Hong Kong;Resource management;How can citizens help to maximize the use of resources? ;waste-management;waste|resources|better|life cycle management|gas emission|chain|optimize;"Each year, around 6 million tonnes of municipal waste are generated in Hong Kong and over half of them go to three landfills.
How can we get better at reducing waste?
Behind the huge amount waste generated each day is the greenhouse gas emission resulted from the manufacturing, distribution, and use of products and materials which finally became waste.";https://climathon.climate-kic.org/en/challenges/waste-management/how-can-citizens-help-to-maximize-the-use-of-resources;Each year, around 6 million tonnes of municipal waste are generated in Hong Kong and over half of them go to three landfills. If solid waste continues to grow, all existing landfills will be full by mid to late 2010’s. How can we get better at reducing waste?   Behind the huge amount waste generated each day is the greenhouse gas emission resulted from the manufacturing, distribution, and use of products and materials which finally became waste. In order to reduce carbon emission due to wastage, which reflects the probelm of inefficient use of resources, better life cycle management of products and materials will be needed.  The Government has just launched the Producer Responsibility Scheme on Waste Electrical and Electronic Equipment (WEEE) and is also going to implement the Municipal Solid Waste Charging Scheme next year. Are these efforts good enough to alleviate the waste problem or optimize resources usage in Hong Kong? How can citizen participate to enhance the operation of these scheme, also to bring in more initiatives to reduce waste? Solutions can focus on:   Reform the current practice of product design and supply chain management Waste reduction at source Recycling Upcycling   
hong-kong03;Hong Kong;Consumer behavior;How can we motivate citizens to practice responsible consumption?;waste-management;kong|consumption|waste|spending disposable|gas|emission|green;"Hong Kong faces the huge issue of over consumption, which leads to more waste and increases the burden on landfills .
How can responsible consumption become more attractive?
Over consumption is a serious issue in Hong Kong.
Over consumption leads to heavy waste issue.";https://climathon.climate-kic.org/en/challenges/waste-management/consumer-behavior;"Hong Kong faces the huge issue of over consumption, which leads to more waste and increases the burden on landfills . How can responsible consumption become more attractive?   Over consumption is a serious issue in Hong Kong. According to a survey conducted by an international green group, Hong Kong people own more clothing than people from other areas, with some of their clothes still hanging at home with their price tag on. Other than frequent spending, disposable utensils or shopping bags often accompany the goods bought.  Over consumption leads to heavy waste issue. Such consumption patterns and tendencies increase the burden of the landfills as well as greenhouse gas emission. Solutions can focus on:  Incentive for responsible consumption More attractive eco-friendly product Build an eco-friendly community Community / school education on responsible consumption Zero-waste lifestyle information platform ""   "
hong-kong04;Hong Kong;Climate adaptation;How can Hong Kong increase resilience under extreme weather? ;extreme-weather;climate|weather|issued|issues|education|educate|existing|kong;"Extreme weather such as super typhoons and heat waves has become the “new normal” under climate change and residents of sub-divided flats or low-lying areas are bearing the brunt.
Solutions can focus on:  Designing climate resilent hardware or improving existing structure to protect from natural disaster Evacuation education Community outreach service to educate health tips under extreme weather   ";https://climathon.climate-kic.org/en/challenges/extreme-weather/climate-adaptation;Extreme weather such as super typhoons and heat waves has become the “new normal” under climate change and residents of sub-divided flats or low-lying areas are bearing the brunt.   In May this year, the Hong Kong Observatory issued a hot weather warning for 348 hours continuously, the longest in its record. When faced with climate challenges, the elderly and the under privileged are less resilient. Can we do more to help them tackle these burning issues? Solutions can focus on:  Designing climate resilent hardware or improving existing structure to protect from natural disaster Evacuation education Community outreach service to educate health tips under extreme weather   
izmir01;Izmir;Izmir Climathon is Coming Soon!;Make Izmir more resistant and prepared to climate change!;waste-management;economy|energy|waste|wastes|economic|work|innovative|production|product|products|izmir|process|processes|needs|need|scale especially|sustainable|area|areas|development|developed|models|model|different|intercontinental|nations|glass|society|strong|plan|business|businesses|material|disposal|disasters;"With its renewable energy sources, İzmir has the advantages of transforming the existing production and service delivery model into a sustainable economy model with its qualified work force and universities specialized in different fields.
With an innovative perspective in integrated waste management, especially in storage and disposal processes, waste management processes can be improved and positive benefits can be achieved for İzmir economy.";https://climathon.climate-kic.org/en/challenges/waste-management/make-izmir-more-resistant-and-prepared-to-climate-change-2;"In this Climathon, we will be looking for answer to the question of how we can increase the resiliency and preparation capacity on a local scale, especially on a business scale, against natural disasters caused by climate change as a priority problem area.   Climathon-İzmir18’s Priority Problem Area?  Turkey's water needs on a global scale study conducted in 2030 for 30%, 40% increase in energy requirements is expected. Such an increase in demand will cause undesirable negative effects on ecological balances. Since the past, the city of İzmir has been positioned by different civilizations on the basis of eden intercontinental trade. In 1923, in the same way as the first economic program of modern Turkey it was determined to follow in Izmir Economy Congress. Secondly, the Izmir Development Agency prepared the Izmir Regional Plan 2014-2023 document by bringing together the different components of the city such as civil society, academia and business world. As indicated in this plan, the priority areas of the city are built on, Strong Economy, High Quality of Life, Strong Society.  In this context, we can read the background that the city expresses itself through multilateral economic relations and plan economic models. When we look at the relationship between climate change and economy, we face a mutual process. In international platforms such as the European Union and the United Nations, discussions on the current form of the process and its future needs, are ongoing and models are suggested. One of the models developed by the developed countries is called Sustainable Economy or Circular Economy. With its renewable energy sources, İzmir has the advantages of transforming the existing production and service delivery model into a sustainable economy model with its qualified work force and universities specialized in different fields. However, this transition is in areas where the process is painful. In summary, these problems;  How can we improve waste management? Waste management is a series of processes that involve the design, production, waste disposal, recycling and / or disposal of any product from design to production. In order to extend the use of existing products within the framework of prevention principle in waste management, the stages of repair, maintenance, renewal are also important. It is aimed to recover the wastes that cannot be prevented by means such as recycling and energy recovery. With an innovative perspective in integrated waste management, especially in storage and disposal processes, waste management processes can be improved and positive benefits can be achieved for İzmir economy. How can we apply the circular economy model? In contrast to the traditional ‘linear economy model, the circular economy is a model in which both the consumer and the producer take responsibility for ensuring sustainable production of limited resources. In parallel with the increase in the global population, the model has started to be discussed by decision makers with the correct increase in energy and raw material needs. In this system, there are stages such as reducing greenhouse gas emissions, increasing the share of renewable energy and reducing carbon footprint. There is a need for structural reforms in the economy through an innovative approach to the transition to the circular economy. How can we reduce the carbon footprints of office / administrative administration buildings? Businesses can minimize the impacts of climate change not only in the production process but also in small steps they can take in offices. For example, the separation of waste such as paper, glass, plastic, and the realization of lighting on the basis of energy efficiency are some of the measures to reduce the carbon footprint. Innovative solutions can increase the impact of combating climate change, especially in offices where white-collar workers work intensively.  "
