id;city;challenge_solution;title;question;theme;challenge_text_main;url;challenge_url
armenia01;Armenia;challenge;Reducing solid waste in construction sector;How can we contribute to the use of solid waste in the construction sector?;waste-management;The construction sector adds to CO2 emissions through solid waste. We are looking for solutions that help decrease the CO2 emissions of the construction sector by reducing solid waste. ;https://climathon.climate-kic.org/en/challenges/waste-management/1;
armenia02;Armenia;challenge;Smart Consumption;How can we reduce the use of plastic by consuming smarter?;human-behaviour;Plastics are the cause of many environmental problems. We are looking for solutions that help us find a model of smart consumption that could decrease the use of plastics and be incorporated in tourism establishments, gastronomy and others. ;https://climathon.climate-kic.org/en/challenges/human-behaviour/2;
armenia03;Armenia;challenge;Handle CO2 emissions of vehicles;How can we monitor, control or reduce CO2 emissions caused by public and private vehicles?;mobility;To reduce CO2 emissions, we need to look ad private and public automotive vehicles. We are looking for solutions that help monitor, control or reduce CO2 emissions baused by public or private automotive vehicles. ;https://climathon.climate-kic.org/en/challenges/mobility/3;
armenia04;Armenia;challenge;Intelligent Recycling Model;What intelligent recycling model can help us reduce solid waste?;circular-economy;A lot of solid waste reaches landfills. Let's reduce it by 40% by finding an intelligent recycling system! We are looking for an intelligent recycling system that helps reduce 40% of the amount of solid waste that reaches landfills ;https://climathon.climate-kic.org/en/challenges/circular-economy/4;
athens01;Athens;challenge;Creating Athens’ first open-data Urban Tree Inventory;How can we create Athens’ first open-data Urban Tree Inventory?;extreme-weather;How can Sustainable Design Principles, Technological Breakthroughs & Innovative Civic Engagement be combined to create Athens’ first open-data Urban Tree Inventory? A major challenge for cities in the future will be to meet our need for nature based solutions towards a more resilient city that will be able to withstand climate change and environmental challenges. Athens, a city that suffers from heatwaves, flash floods and poor air quality, has historically wasted, misused and mismanaged its natural resources. It needs a culture change to understand, support, and promote its green infrastructure. The city needs to create, as well as, better manage its green areas. Creating a Tree Inventory is an integral part of Athens Resilience Strategy to integrate natural systems into the urban fabric. An urban tree inventory is the database of accurate information on the health and diversity of an urban green stock. How concerned & active citizens of Athens, together with expert arborists & foresters, research students & members of the Academia, IT specialists & software programmers, innovative entrepreneurs & local businesses, design thinking facilitators & community-based organizations, along with city officials, can create an open data Urban Tree Inventory that will provide information for the planning, design, planting, maintenance, removal of community trees as well as civic usage of green spaces? Good tree inventory practice involves integrating sustainable design principles, available advanced technologies such as the use of AI applications, excellent knowledge of urban forestry & civic land use, and innovative community engagement that encompasses collaboration and co-creation between city officials and citizens. Solutions that Climathon Athens 2018 could focus on:• Developing a holistic approach to spatial planning for open green spaces and greener pedestrian streets in the Municipality of Athens. • Enabling mapping and identification of trees in predefined areas to support public awareness and demonstration activities such as labelling, development, maintenance, etc.• Assessing the benefits of trees and open green areas using environmental and socioeconomic indicators (assessing the flooding reduction potential, ecosystem benefits, social benefits, cognitive function of green spaces, shading and cooling, urban heat island effect, landscape enhancement, etc.).• Adapting or creating business models that will support public-private sector collaborations.• Using design and technology to add value and extend the useful life of current public green spaces.• Establishing co-creation opportunities between city officials, citizens, local businesses, research centers & universities.• Enhance and promote public awareness on trees value and importance in the city with any possible ways (e.g. use of technology, stakeholder engagement processes, others). The aim of the Challenge this year is to fuel new thinking, that will ideally include the holistic analysis of satellite, environmental, biological and socio-economic data and the interactions between open green spaces, water attenuation and spatial planning. Copernicus, EMODnet, BlueBRIDGE, FAO, Eurostat, Natura2000 are among the relevant datasets that will be made available to all participants. ;https://climathon.climate-kic.org/en/challenges/extreme-weather/creating-athens-first-open-data-urban-tree-inventory;
athens02;Athens;solution;Tree identity, A Co-created Tree Registry;Sustainability, Resilience, Circular, Active Citizenship;extreme-weather;"Trees are a great way to engage citizens in environmental efforts, such as greenhouse gases emissions. It seems that there is no detailed mapping of the tree population in the City. Sustainability, Resilience, Circular, Active Citizenship Trees are a great way to engage citizens in environmental efforts, such as greenhouse gases emissions. It seems that there is no detailed mapping of the tree population in the City. Every city in the world is a living organism that constantly transforms as it updates its functions. Many factors affect the tasks and responsibilities of a city in a broad range of sectors. In order for a city to be able to best serve its people, there is a need to constantly monitor its performance, ideally on a real-time basis. Many cities around the world have already developed mechanisms and tools that measure their performance using state of-the-art digital technologies. Tools such as digital and dynamic maps (GIS maps), dynamic databases on monitoring indicators, sensors and technologies (Internet of Things - IoT) are available for use by any city around the world. The City of Athens is currently using obsolete technologies to measure its performance. This becomes more difficult due to insufficient human resources. On the other hand, Citizens are also unaware of what is happening in the city, while the city decision makers lack the proper tools for effective policy making. The main objective here is to introduce up to date digital technologies to help better manage the City of Athens. City officials will thus be able to draft new policies using real-time data, while demonstrating to the public, for the first time, the dynamic status and performance of the city. The latter will be achieved through a series of actions that will promote its creativity, participatory culture and transparency. The City of Athens currently owns over 120,000 trees which are growing within the city boundaries. There is however no existing registry for these trees. The City will need to ""invent"" how they will build a tree registry, ways to collect tree characteristics and reliable data, about position, type, occupancy, age, classification, and canopy.City services have already started to record the trees on a GIS map but there is a need to build adequate capacity to implement this work. Run a city-wide project, incorporating co-design and co-creation methodologies, for learning, awareness and with practical use. System: Design a system, which balances the complexity of different stakeholder needs and desires. Space: Mix physical public space to an augmented reality environment, which (a.) will give people signals about how to behave and (b.) influence how they feel. Service: Incorporate human centered approaches, in order to design and deliver effective service(s), linked to a vibrant civil society needs and desires, while considering its priorities, limitations and motivation. Product: Deliver a well designed “working” prototype, with clear intention to evolve, while considering the scarcity of the available resources and using innovative thinking. ";https://climathon.climate-kic.org/en/solutions/buzz-the-trees;https://climathon.climate-kic.org/en//en/challenges/extreme-weather/creating-athens-first-open-data-urban-tree-inventory
baku01;Baku;challenge;Environmental friendly behaviour;How to motivate citizens to practice environmental friendly behaviour?;human-behaviour;To limit the environmental impact citizens can be educated or motivated to practice eco-friendly behaviors? What are solutions to help citizens to act more environmentally friendly? We are looking for solutions that help citizens to limit their environmental impact and act more environmentally friendly. Join this Climathon to help us finding these solutions. ;https://climathon.climate-kic.org/en/challenges/human-behaviour/how-can-citizens-can-be-educated-or-motivated-to-practice-eco-friendly-behaviors-to-limit-their-environmental-impact;
bangor01;Bangor;challenge;Creating climate change solutions for problems affecting the ecosystem of Gwynedd and Ynys Môn;What’s gone wrong, how can we do better? ;air-pollution;Bangor City and Gwynedd/Ynys Môn form a complex rural and urban ecosystem. Getting to grips with Climate Change is just as complex requiring a lot of collaboration to find solutions. We have the technology to tackle the causes and effects of climate change, but it’s obvious to everyone that we are not doing a very good job. Yes, we need products, services, business models, platforms and initiatives, to solve climate change problems, but how do people like us get involved? Climathon Bangor is an opportunity to work as a team to devise, develop and pitch workable and practical solutions and have some fun at the same time.. Your TASK will be to form a team to go on a learning and innovation journey for the day. The itinerary for this trip of a lifetime is as follows: Explore the category options, brainstorm and choose the category that most require solutions or are of particular interest to your team. If you have already identified a category, move on to the next stage. Identify what the problem really is. Create a problem statement to focus your thinking. How to solve the problem of x and create a sustainably resourced solution (it might need finance, it might only need human resources, it might need a combination of both). Brainstorm a range of possible solutions and select the two solutions that are most likely to be feasible: Can we do it, is it viable – can we afford to do it? Is it desirable – will people want this, Is it sustainable – will the solution solve the problem/ meet the environmental benchmarks? We will talk you through how you can come up with a well thought solution that you can defend You will be able to create a compelling for your idea Develop a 5 minute pitch Pitch Judges assess the case and decide on ‘best’ idea Feedback and prizes ;https://climathon.climate-kic.org/en/challenges/air-pollution/creating-climate-change-solutions-for-problems-affecting-the-ecosystem-of-gwynedd-and-ynys-mon;
birmingham01;Birmingham;challenge;Find ways to help citizens lead healthier, happier lives;How can we tackle climate change within our poorest communities?;air-pollution;To tackle climate change we need to ensure that everyone, from an 8 year old to an 80 year old has their say about how to create sustainable happy communities. Our more disadvantaged citizens need to have a say about tackling climate change in the context of their, often difficult, circumstances. To tackle climate change we need to ensure that everyone, from an 8 year old to an 80 year old has their say about how to create sustainable happy communities. Our more disadvantaged citizens need to have a say about tackling climate change in the context of their, often difficult, circumstances. If we don’t, most plans will fail. Birmingham is a city of 1.1 million people in the city with 408,000 Birmingham citizens in the top 10% most deprived in England. Measures to reduce air pollution, such as clean air zones, have been found to impact those from the most deprived communities hardest, leading to increased financial pressures and reduced mobility. In addition, Birmingham has one of the worst recycling rates in the country, creating more pressures on our environment. Evidence tells us that living happy, fulfilling lives is about far more than money or economic growth. We know that citizens who are connected with and contribute to their communities and adopt sustainable behaviours like collaborating and sharing are happier. They start to demand and take decisions for themselves that support this. Communities that behave in this way also therefore take decisions that reduce climate change. We know that increased wellbeing can have positive impacts on air quality and climate change and that large health inequalities are directly linked to poverty in the city. But sadly, we face some massive challenges to make the connection between wellbeing and the environment - such as the role of the car contributing in part to ¼ of Birmingham children being overweight/obese when they start school (rising to 40% by the time they leave primary school) with over 80% of the population are inactive in the city… There is much to be done together if we are to make a change. By creating solutions that educate, involve and engage our poorest communities, we have the best chance of creating a city-wide focus on positive impacts for these citizens rather than making them victims of change. We’ve got 3 we want help with! 1 - How can we give Birmingham citizens a chance for longer, happier lives? What language and actions can we use as citizens to encourage and spread an understanding that real wellbeing comes from caring about your environment, whether that is at a community level or the air you breathe? 2 - How can we make encourage our citizens to feel passionate about the environment they live and work in? Specifically, how can we change Birmingham’s streets and public places to be cleaner, easier to use, enjoy and look at? How can we give our communities a voice to demand or lead positive change about the place they live in, in a practical, environmentally sensitive way? 3 - Lastly, how can we make our city a more healthy, clean and fun place to travel around on a daily basis? What bothers citizens about waste and dirt? What do they think they can do that that can help tackle climate change with regards energy and fuel consumption, waste and recycling, and what is really achievable in the context of their lives? So, come on, help us. Help take on these challenges and join up, for what’s going to be a life changing day! ;https://climathon.climate-kic.org/en/challenges/air-pollution/tackling-climate-change-from-within-birmingham-s-communities-to-create-healthier-places-to-live;
bologna01;Bologna;challenge;Air quality engagement process;How can we improve urban air quality in Bologna by increasing knowledge and citizens' interaction?;air-pollution;Air quality changes every day, requiring us to adapt our actions and habits. Be part of our attempt to engage citizens in improving air quality by designing the interactive section of a partly developed mobile App. As requests from citizens to concretly act to improve air quality in Bologna increased, in May 2018 the Bologna Municipality promoted the Air Lab. The participatory process, coordinated by the Foundation for Urban Innovation, aims to enhance the engagement of citizens in improving air quality by a clear change of habits and daily actions. The Lab, open to every citizen, stakeholder, expert or technician, gives the participants a chance to ask questions and necessities, criticalities and best practices to be followed to make Bologna a healthier city. The main goal of the process, shared with the participants, was to create a public communication campaign to improve both the knowledge and the effort of citizens in cleaning the air in the urban context. One of the outputs of Bologna's Air Lab is a mobile App that is currently it its development phase, which needs to be implemented in its interactive section. Be part of our attempt to engage citizens in improving air quality by designing the interactive section of our partly developed mobile App. Useful links to prepare to the Climathon: Datas on Air Quality in Bologna (2017) provided by Arpae: https://www.arpae.it/dettaglio_notizia.asp?id=9224&idlivello=1504  Technical reports provided by Arpae:  https://www.arpae.it/report_ambientali.asp?tipo_elenco=rep_ambientale&idmateria=4&idlivello=1693  https://www.arpae.it/dettaglio_generale.asp?id=3057&idlivello=1692 Reports produced within the AirLab:  http://www.fondazioneinnovazioneurbana.it/45-uncategorised/1811-laboratorio-aria-prossimo-incontro-1-ottobre  Datas on bottom-up monitoring actions:  https://ariapesa.org/ ;https://climathon.climate-kic.org/en/challenges/air-pollution/catching-app-the-challenge-improving-urban-air-quality-in-bologna-by-increasing-knowledge-and-citizens-interaction-2;
bologna02;Bologna;solution;Air supervision app;Develop an app that is capable to collect and show air quality;air-pollution;"Develop an app that is capable to collect and show air quality data from several sources, with special focus on regularly refreshed data (near real time data). It should help people to avoid polluted areas and suggest them to develop best practices to reduce air pollution. Develop an app that is capable to collect and show air quality Develop an app that is capable to collect and show air quality data from several sources, with special focus on regularly refreshed data (near real time data). It should help people to avoid polluted areas and suggest them to develop best practices to reduce air pollution. The aim of the app is to envurage and track good practices that can contribute to reduce air pollution in Bologna province. User engagement will be achieved by: Implement a progressive integration of reliable data from multiple sources for better spatial and temporal resolution of air pollution Notify users of changes in air quality Offer to users options for short term gains for reducing pollution initially from the Transport, Energy sector Score points for users based on their actions Monitor user's performance of actions made in a certain period of time Allow users to challenge each other's performance, individually or in groups Use social media to disseminate challenges results and to call for new challenges  Develop an app that is capable to collect and show air quality data from several sources, with special focus on regularly refreshed data (near real time data). Key feature are:1) inclusion of different stationary and non-stationary sources of data including citizens-science stations, government stations, university and other research institutions stations; 2) clear description of the data and their unit of measures; 3) transparent information of the various sources of data; 4) the ability to display data from different sources as switchable layers; 5) the ability to do simple correlation analysis, such as calculation high, min and mean between different data sources; 6) the ability to receive notifications on the device about near real time air quality risk; 7) the possibility to combine the app with a portable, affordable, and state-of-the-art quality meter, which is to be specially designed for this campaign and is to be made avaiable to sensitive groups especially babies. Further developments: Offer to users options for long-term gains for reducing pollution for Transport, Energy sectors but also for both short-term and long-term gains for the Food/ Agriculture and Purchasing sectors Deploy new, affordable sensors, both portable and stationary, to further improve the spatial and temporal of the air pollution map. ";https://climathon.climate-kic.org/en/solutions/aria-app;https://climathon.climate-kic.org/en//en/challenges/air-pollution/catching-app-the-challenge-improving-urban-air-quality-in-bologna-by-increasing-knowledge-and-citizens-interaction-2
brasov01;Brașov;challenge;Challenges in Brasov;Can you help us find solutions to the Brasov challenges for a better and safer future?;air-pollution;Climathon will be held in Brașov this year for the second time, organized by Transilvania University on October 26th, at its R&D Institute. The Climathon participants will develop solutions for the problems that the city of Brașov is facing in the field of climate change within 24 hours. Romania confronts lately with various extreme weather phenomena, which were not previously reported before, like tornadoes. Brasov City also experienced in the last years some unusual meteo conditions. The challenge for the Climathon 2018 in Brasov is to address the following questions: How to define extreme weather phenomena? What is the perception of such phenomena for the citizens? What is currently being measured and how by the important actors in Brasov City and County: university, research institutes, administration, national agencies and private companies. We invite all our collaborators from the afore-mentioned institutions to participate to Climathon 2018, share the information with the participants and contribute to the formulation of specific problems to be addressed, as well as to the designed solutions. ;https://climathon.climate-kic.org/en/challenges/air-pollution/innovative-ideas-and-strategies-for-a-better-and-safer-future;
brasov02;Brașov;solution;Better home insulation;Improve thermal resistance of current double glazed window system;extreme-weather;Provide a solution for short term return of investment, for normal citizens, to upgrade their home insulation. They will consume less energy thus produce less waste Improve thermal resistance of current double glazed window system Provide a solution for short term return of investment, for normal citizens, to upgrade their home insulation. They will consume less energy thus produce less waste Better home insulations to produce less waste heat About 40% of heating bill is caused by underperforming window systems. Average heating bill can be about 100 RON a month. With estimated 200k citizens, our city might have about 40k homes ( estimating here, could not find exact info ), with 6 cold months, these families spend about 40% * 100 RON * 6 = 240 RON a year only because of poor window insulation ( only factoring cold weather ). On city scale, it could be as high as 240 * 40k = 9.6 M RON = 2 M Euro spent only on cold period of the year. Better windows already exist, with factors up to 400% improvement. That means after return of investment, up to 1.5M euros could be saved anually. From economy perspective : using better windows could save Brasov city about 1.5M euros per year Most homes use gass heating. These burn fuel which produces CO2. Burnt fuel reduces air quality and contributes to global warming. With the very roughly estimated 2M Euro + the price of from Enel is minimum RON 135.89 MW/h, about 9.6M/135.89 = 70000 MW/h = 70 GW/h is burnt. According to this site ( https://www.wingas.com/fileadmin/Wingas/WINGAS-Studien/Energieversorgung_und_Energiewende_en.pdf ) , about 0.572 kg of CO2 per kWh is generated. 70 GW/h * 572 Ton / GW/ h = 40000 Ton of CO2 released per 6 months of cold waether From pollution perspective, better windows could save about 30000 Ton of CO2 General info : Old window systems can have from 1.7 W / m2 K to 1.2 W / m2 K. Good tripple glazed systems can go down to 0.6 W / M2 K, ROI of 1-2 years. My investigated and proposed solution : 0.3 W/m2 K with reusability of old window and time of ROI of 2 years. Dangerous, less theoretical solution : 0.6 W / m2K https://www.vacuum-glass.net/?gclid=Cj0KCQjw6rXeBRD3ARIsAD9ni9BAZ6ehc5axB6EaL4oW5c6Vo9oqGW7gkbQWD9PGhUeIAPFYSvr_ADEaAgtlEALw_wcB Possible theoretical solution : 0.15 - 0.05 W / m2K http://www.jetsongreen.com/2012/05/twelve-glazing-insulated-glass-passivhaus-superwindows.html Adopt technology, save the planet. ;https://climathon.climate-kic.org/en/solutions/better-double-glazing-windows;https://climathon.climate-kic.org/en//en/challenges/extreme-weather/innovative-ideas-and-strategies-for-a-better-and-safer-future
